ChineseName,EnglishName,Team,deltaRanking,MarketValue,VarianceofScore,MeanOfScore,Colour
阿雷奥拉,Alphonse Areola,France,2,800,0,7.2,"rgb(50,107,199)"
登贝莱, Ousmane Dembélé,France,2,6000,1.127957143,7.077142857,"rgb(50,107,199)"
迪萨西,Axel Disasi,France,2,2500,0.4816,6.36,"rgb(50,107,199)"
格里兹曼,Antoine Griezmann,France,2,2500,0.755533333,7.42,"rgb(50,107,199)"
贡多齐,Mattéo Guendouzi,France,2,2500,0.26645,6.515,"rgb(50,107,199)"
吉鲁,Olivier Giroud,France,2,400,0.880936667,6.941666667,"rgb(50,107,199)"
金斯利·科曼,Kingsley Coman,France,2,6000,0.087576667,6.438333333,"rgb(50,107,199)"
卡马温加,Eduardo Camavinga,France,2,5000,0.354533333,7.303333333,"rgb(50,107,199)"
科纳特,Ibrahima Konaté,France,2,3500,0.422346667,6.856666667,"rgb(50,107,199)"
孔德,Jules Koundé,France,2,6000,0.310291667,6.6575,"rgb(50,107,199)"
拉比奥,Adrien Rabiot,France,2,2500,0.84778,7.224,"rgb(50,107,199)"
卢卡斯·埃尔南德斯,Lucas Hernández,France,2,5000,0.734633333,6.633333333,"rgb(50,107,199)"
洛里,Hugo Lloris,France,2,700,0.29322,6.508,"rgb(50,107,199)"
马库斯·图拉姆,Marcus Thuram,France,2,3200,0.33967,6.548,"rgb(50,107,199)"
曼丹达,Steve Mandanda,France,2,150,0,6.44,"rgb(50,107,199)"
姆巴佩,Kylian Mbappé,France,2,18000,1.751257143,7.957142857,"rgb(50,107,199)"
穆阿尼,Randal Kolo Muani,France,2,3700,0.3618,6.94,"rgb(50,107,199)"
帕瓦尔,Benjamin Pavard,France,2,3500,0.00125,6.375,"rgb(50,107,199)"
琼阿梅尼, Aurélien Tchouameni,France,2,9000,0.394256667,6.908333333,"rgb(50,107,199)"
萨利巴,William Saliba,France,2,5000,0.00405,6.325,"rgb(50,107,199)"
特奥·埃尔南德斯,Theo Hernández,France,2,6000,0.848146667,7.316666667,"rgb(50,107,199)"
瓦拉内,Rapha?l Varane,France,2,4000,0.20911,6.435,"rgb(50,107,199)"
韦勒图,Jordan Veretout,France,2,1400,0,6.2,"rgb(50,107,199)"
乌帕梅卡诺,Dayot Upamecano,France,2,6000,0.269491667,6.7375,"rgb(50,107,199)"
优素福·福法纳,Youssouf Fofana,France,2,2500,0.2436,6.42,"rgb(50,107,199)"
贝林厄姆,Jude Bellingham,England,-1,11000,0.60147,7.518,"rgb(150,150,150)"
本·怀特,Ben White,England,-1,4500,0,0,"rgb(150,150,150)"
布卡约·萨卡,Bukayo Saka,England,-1,10000,1.562025,7.7025,"rgb(150,150,150)"
戴尔,Eric Dier,England,-1,3000,0.0032,6.21,"rgb(150,150,150)"
德克兰·赖斯,Declan Rice,England,-1,8000,0.14212,7.032,"rgb(150,150,150)"
菲尔·福登,Phil Foden,England,-1,11000,0.656291667,7.1575,"rgb(150,150,150)"
格雷利什,Jack Grealish,England,-1,7000,0.21512,6.528,"rgb(150,150,150)"
哈里·凯恩,Harry Kane,England,-1,9000,0.48928,7.324,"rgb(150,150,150)"
哈里·马奎尔,Harry Maguire,England,-1,3000,0.07273,7.354,"rgb(150,150,150)"
亨德森,Jordan Henderson,England,-1,1500,0.362066667,6.95,"rgb(150,150,150)"
卡尔文·菲利普斯,Kalvin Phillips,England,-1,4500,0.02645,6.315,"rgb(150,150,150)"
卡勒姆·威尔逊,Callum Wilson,England,-1,1800,0.0578,6.43,"rgb(150,150,150)"
凯尔·沃克,Kyle Walker,England,-1,1500,0.190633333,6.733333333,"rgb(150,150,150)"
康纳·加拉格尔,Conor Gallagher,England,-1,3200,0,0,"rgb(150,150,150)"
康诺·科迪,Conor Coady,England,-1,1800,0,0,"rgb(150,150,150)"
拉姆斯代尔,Aaron Ramsdale,England,-1,3000,0,0,"rgb(150,150,150)"
拉什福德,Marcus Rashford,England,-1,5500,1.82247,6.978,"rgb(150,150,150)"
